LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6,CURRENT|1,CURRENT|2,CURRENT|3,CURRENT|6
0.616455,7.58667,0.22583,3.979492,-0.299578,276.981496,378.335629,38840.620154,-0.000432,0.000504,0.000381,-11.284154,-0.549316,-7.70874,-0.274658,-5.819102,-0.30001,277.06,378.33601,38901.336,-0.000432,0.000504,0.000381,0.0,-0.30001,276.982,378.33601,38829.336,0.0,6.0,0.0,12000.0,-0.000432,0.000504,0.000381,0.0,-0.014396,6.016797,0.012703,12000.0,0.0,0.0,0.0,0.0,-0.299537,277.034678,378.334349,38840.620154,-0.299578,276.981496,378.335629,0.0,-0.454102,-6.142578,-0.214844,-2.163574
1.245117,6.835938,0.213623,4.211426,-12.463572,334.135256,378.336049,213231.966437,-5.6e-05,0.000478,-3.9e-05,-13.986437,-1.330566,-6.732178,-0.238037,-5.122022,-12.368779,334.147289,378.33601,213306.18,-5.6e-05,0.000478,-3.9e-05,0.0,-12.463628,334.135734,378.33601,213217.98,7.298462,0.868883,0.0,14700.0,-5.6e-05,0.000478,-3.9e-05,0.0,7.2966,0.884813,-0.001294,14700.0,0.0,0.0,0.0,0.0,-12.437076,334.17137,378.334426,213231.966437,-12.463572,334.135256,378.336049,0.0,-1.049805,-5.415039,-0.180664,-2.348145
1.495361,7.012939,0.177002,4.302979,-12.012762,295.057883,378.336156,871094.255865,0.000434,-0.0002,-0.000146,-13.919865,-1.519775,-7.159424,-0.22583,-5.273561,-11.946143,295.123868,378.33601,871166.736,0.000434,-0.0002,-0.000146,0.0,-12.012328,295.057682,378.33601,871080.336,5.091169,5.091169,0.0,14400.0,0.000434,-0.0002,-0.000146,0.0,5.105643,5.084492,-0.004875,14400.0,0.0,0.0,0.0,0.0,-11.990758,295.103719,378.33433,871094.255865,-12.012762,295.057883,378.336156,0.0,-1.210938,-5.722656,-0.170898,-2.363525
0.195312,7.25708,0.415039,2.636719,-22.799324,308.093391,378.335932,544294.009741,-0.000686,0.000251,7.8e-05,-13.393741,-0.12207,-7.269287,-0.360107,-3.349015,-22.80001,308.177492,378.33601,544363.416,-0.000686,0.000251,7.8e-05,0.0,-22.80001,308.093642,378.33601,544280.616,0.0,6.45,0.0,13800.0,-0.000686,0.000251,7.8e-05,0.0,-0.022859,6.458375,0.002612,13800.0,0.0,0.0,0.0,0.0,-22.794832,308.137603,378.333725,544294.009741,-22.799324,308.093391,378.335932,0.0,-0.117188,-5.810547,-0.307617,-1.445801
0.488281,7.598877,0.262451,4.162598,-27.800027,301.318752,378.335834,130482.296179,1.7e-05,-4.1e-05,0.000176,-13.064179,-0.500488,-7.666016,-0.231934,-5.4251,-27.80001,301.408411,378.33601,130552.032,1.7e-05,-4.1e-05,0.000176,0.0,-27.80001,301.318711,378.33601,130469.232,0.0,6.9,0.0,13800.0,1.7e-05,-4.1e-05,0.000176,0.0,0.000578,6.898643,0.005867,13800.0,0.0,0.0,0.0,0.0,-27.791508,301.365136,378.334303,130482.296179,-27.800027,301.318752,378.335834,0.0,-0.400391,-6.108398,-0.195312,-2.337891
0.726318,6.530762,0.22583,2.929688,-6.255945,329.271008,378.336605,615494.245566,8.5e-05,-0.001008,-0.000595,-15.133566,-0.714111,-6.35376,-0.170898,-3.288399,-6.15446,329.27,378.33601,615572.712,8.5e-05,-0.001008,-0.000595,0.0,-6.25586,329.27,378.33601,615479.112,7.8,0.0,0.0,15600.0,8.5e-05,-0.001008,-0.000595,0.0,7.802844,-0.033594,-0.019849,15600.0,0.0,0.0,0.0,0.0,-6.234328,329.308052,378.333719,615494.245566,-6.255945,329.271008,378.336605,0.0,-0.585938,-5.126953,-0.146484,-1.609863
1.495361,7.684326,0.189209,4.315186,-27.682918,318.785939,378.336186,166632.933157,-0.000606,-0.000157,-0.000176,-13.953157,-1.44043,-7.598877,-0.268555,-5.137176,-27.672261,318.880666,378.33601,166707.18,-0.000606,-0.000157,-0.000176,0.0,-27.683524,318.785783,378.33601,166618.98,0.88648,7.296345,0.0,14700.0,-0.000606,-0.000157,-0.000176,0.0,0.866277,7.291113,-0.005852,14700.0,0.0,0.0,0.0,0.0,-27.673419,318.830447,378.334316,166632.933157,-27.682918,318.785939,378.336186,0.0,-1.162109,-6.069336,-0.200195,-2.343018
0.787354,7.36084,0.604248,1.275635,14.166203,321.237023,378.336029,945139.367712,0.000259,-0.000551,-1.9e-05,-14.231712,-0.805664,-7.36084,-0.604248,-1.712392,14.232648,321.302658,378.33601,945211.536,0.000259,-0.000551,-1.9e-05,0.0,14.166463,321.236473,378.33601,945125.136,5.091169,5.091169,0.0,14400.0,0.000259,-0.000551,-1.9e-05,0.0,5.099815,5.072804,-0.000643,14400.0,0.0,0.0,0.0,0.0,14.185473,321.278902,378.333138,945139.367712,14.166203,321.237023,378.336029,0.0,-0.639648,-5.893555,-0.483398,-0.733154
1.519775,6.610107,0.189209,4.882812,18.397248,281.584934,378.335805,394918.674734,0.000323,-0.000519,0.000205,-17.502734,1.489258,-6.622314,-0.201416,-4.697713,18.294153,281.525645,378.33601,395010.972,0.000323,-0.000519,0.000205,0.0,18.397571,281.584415,378.33601,394901.172,-7.97062,-4.49352,0.0,18300.0,0.000323,-0.000519,0.000205,0.0,-7.959857,-4.510817,0.006844,18300.0,0.0,0.0,0.0,0.0,18.393035,281.627758,378.334734,394918.674734,18.397248,281.584934,378.335805,0.0,1.206055,-5.297852,-0.15625,-2.660889
0.445557,8.337402,0.280762,4.144287,-21.326727,283.18216,378.335961,89151.858862,-0.000426,-0.000835,4.9e-05,-12.174862,0.45166,-8.190918,-0.256348,-5.667563,-21.392136,283.234316,378.33601,89217.084,-0.000426,-0.000835,4.9e-05,0.0,-21.327153,283.181325,378.33601,89139.684,-4.988866,4.088241,0.0,12900.0,-0.000426,-0.000835,4.9e-05,0.0,-5.003075,4.060413,0.001635,12900.0,0.0,0.0,0.0,0.0,-21.324578,283.235129,378.334451,89151.858862,-21.326727,283.18216,378.335961,0.0,0.34668,-6.577148,-0.209961,-2.266113
